,created_by,name,description,image_url
0,,Johnnie Walker,Johnnie Walker,Johnnie Walker
1,,Ginger Beer,Ginger Beer,Ginger Beer
2,,Cognac,Cognac,Cognac
3,,Tropicana,Tropicana,Tropicana
4,,Coriander,Coriander,Coriander
5,,Cinnamon,Cinnamon,Cinnamon
6,,Jello,Jello,Jello
7,,Almond Flavoring,Almond Flavoring,Almond Flavoring
8,,Champagne,Champagne,Champagne
9,,Absolut Citron,Absolut Citron,Absolut Citron
10,,Passion Fruit Syrup,Passion Fruit Syrup,Passion Fruit Syrup
11,,Amaretto,Amaretto,Amaretto
12,,7-up,7-up,7-up
13,,Kool-aid,Kool-aid,Kool-aid
14,,Blackcurrant Squash,Blackcurrant Squash,Blackcurrant Squash
15,,Ginger Ale,Ginger Ale,Ginger Ale
16,,Marshmallows,Marshmallows,Marshmallows
17,,Goldschlager,Goldschlager,Goldschlager
18,,Passion Fruit Juice,Passion Fruit Juice,Passion Fruit Juice
19,,Guinness Stout,Guinness Stout,Guinness Stout
20,,Coffee Liqueur,Coffee Liqueur,Coffee Liqueur
21,,Peach Schnapps,Peach Schnapps,Peach Schnapps
22,,Apple Juice,Apple Juice,Apple Juice
23,,Aperol,Aperol,Aperol
24,,Lime,Lime,Lime
25,,Carbonated Water,Carbonated Water,Carbonated Water
26,,Cloves,Cloves,Cloves
27,,Fresca,Fresca,Fresca
28,,Bailey's Irish Cream,Bailey's Irish Cream,Bailey's Irish Cream
29,,Banana Liqueur,Banana Liqueur,Banana Liqueur
30,,Espresso,Espresso,Espresso
31,,Irish Whiskey,Irish Whiskey,Irish Whiskey
32,,Dark Rum,Dark Rum,Dark Rum
33,,Kiwi,Kiwi,Kiwi
34,,Nutmeg,Nutmeg,Nutmeg
35,,Cranberry Juice,Cranberry Juice,Cranberry Juice
36,,Whiskey,Whiskey,Whiskey
37,,Marjoram Leaves,Marjoram Leaves,Marjoram Leaves
38,,Apple Cider,Apple Cider,Apple Cider
39,,Sirup Of Roses,Sirup Of Roses,Sirup Of Roses
40,,Anis,Anis,Anis
41,,Applejack,Applejack,Applejack
42,,St. Germain,St. Germain,St. Germain
43,,Salt,Salt,Salt
44,,Drambuie,Drambuie,Drambuie
45,,Fresh Lemon Juice,Fresh Lemon Juice,Fresh Lemon Juice
46,,Raspberry Liqueur,Raspberry Liqueur,Raspberry Liqueur
47,,Pineapple,Pineapple,Pineapple
48,,Hot Chocolate,Hot Chocolate,Hot Chocolate
49,,Cocoa Powder,Cocoa Powder,Cocoa Powder
50,,Grapefruit Juice,Grapefruit Juice,Grapefruit Juice
51,,Heavy Cream,Heavy Cream,Heavy Cream
52,,151 Proof Rum,151 Proof Rum,151 Proof Rum
53,,Creme De Cacao,Creme De Cacao,Creme De Cacao
54,,Coconut Rum,Coconut Rum,Coconut Rum
55,,Maraschino Liqueur,Maraschino Liqueur,Maraschino Liqueur
56,,Kahlua,Kahlua,Kahlua
57,,Yukon Jack,Yukon Jack,Yukon Jack
58,,Jim Beam,Jim Beam,Jim Beam
59,,Aquavit,Aquavit,Aquavit
60,,Apfelkorn,Apfelkorn,Apfelkorn
61,,Sherry,Sherry,Sherry
62,,Cider,Cider,Cider
63,,Condensed Milk,Condensed Milk,Condensed Milk
64,,Demerara Sugar,Demerara Sugar,Demerara Sugar
65,,Grand Marnier,Grand Marnier,Grand Marnier
66,,Cherry Grenadine,Cherry Grenadine,Cherry Grenadine
67,,Pina Colada Mix,Pina Colada Mix,Pina Colada Mix
68,,Lemon-lime Soda,Lemon-lime Soda,Lemon-lime Soda
69,,Green Chartreuse,Green Chartreuse,Green Chartreuse
