,created_by,name,description,directions,glass,image_url
0,,'57 Chevy with a White License Plate,'57 Chevy with a White License Plate,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg
1,,1-900-FUK-MEUP,1-900-FUK-MEUP,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg
2,,110 in the shade,110 in the shade,Combine ingredients,Beer Glass,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg
3,,151 Florida Bushwacker,151 Florida Bushwacker,Combine ingredients,Beer Mug,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg
4,,155 Belmont,155 Belmont,Combine ingredients,White Wine Glass,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg
5,,24k nightmare,24k nightmare,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg
6,,252,252,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg
7,,3 Wise Men,3 Wise Men,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg
8,,3-Mile Long Island Iced Tea,3-Mile Long Island Iced Tea,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg
9,,410 Gone,410 Gone,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg
10,,50/50,50/50,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg
11,,501 Blue,501 Blue,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg
12,,69 Special,69 Special,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg
13,,747,747,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg
14,,9 1/2 Weeks,9 1/2 Weeks,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg
15,,A Day at the Beach,A Day at the Beach,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg
16,,A Furlong Too Late,A Furlong Too Late,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg
17,,A Gilligan's Island,A Gilligan's Island,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg
18,,A Night In Old Mandalay,A Night In Old Mandalay,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg
19,,A Piece of Ass,A Piece of Ass,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg
20,,A Splash of Nash,A Splash of Nash,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg
21,,A True Amaretto Sour,A True Amaretto Sour,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg
22,,A midsummernight dream,A midsummernight dream,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg
23,,A. J.,A. J.,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg
24,,A.D.M. (After Dinner Mint),A.D.M. (After Dinner Mint),Combine ingredients,Irish Coffee Cup,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg
25,,A1,A1,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg
26,,ABC,ABC,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg
27,,ACID,ACID,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg
28,,AT&T,AT&T,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg
29,,Abbey Cocktail,Abbey Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg
30,,Abbey Martini,Abbey Martini,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg
31,,Abilene,Abilene,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg
