Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Description,unit1,combined1,unit2,combined2,unit3,combined3,unit4,combined4,unit5,combined5,unit6,combined6,unit7,combined7,unit8,combined8,unit9,combined9,unit10,combined10,unit11,combined11,unit12,combined12,unit13,combined13,unit14,combined14,unit15,combined15
'57 Chevy With A White License Plate,Http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball Glass,Creme De Cacao,,,,,,,Vodka,,,,,,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,'57 Chevy with a White License Plate: A creamy and indulgent cocktail with a mix of various liqueurs and a smooth texture.,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
1-900-fuk-meup,Http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned Glass,Absolut Kurant,,,,,,,Grand Marnier,Chambord Raspberry Liqueur,Midori Melon Liqueur,Malibu Rum,Amaretto,Cranberry Juice,Pineapple Juice,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,1-900-FUK-MEUP: A potent and vibrant cocktail that packs a punch with a combination of different spirits and fruity flavors.,ml,15,ml,7.5,ml,7.5,ml,7.5,ml,7.5,ml,7.5,ml,15,ml,7.5,, ,, ,, ,, ,, ,, ,, 
110 In The Shade,Http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,Lager,,,,,,,Tequila,,,,,,,,Drop shooter in glass. Fill with beer,110 in the shade: A refreshing and cooling cocktail featuring a blend of citrusy and minty ingredients.,ml,480,ml,150,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
151 Florida Bushwacker,Http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer Mug,Malibu Rum,,,,,,,Light Rum,151 Proof Rum,Dark Creme De Cacao,Cointreau,Milk,Coconut Liqueur,Vanilla Ice-cream,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,"151 Florida Bushwacker: A tropical and creamy cocktail that combines rum, liqueurs, and a touch of coconut for a delightful sip.",ml,15,ml,15,ml,15,ml,30,ml,30,ml,90,ml,30,ml,240,, ,, ,, ,, ,, ,, ,, 
155 Belmont,Http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White Wine Glass,Dark Rum,,,,,,,Light Rum,Vodka,Orange Juice,,,,,,Blend with ice. Serve in a wine glass. Garnish with carrot.,"155 Belmont: A sophisticated cocktail with a mix of bourbon and aromatic ingredients, offering a balance of sweet and bitter notes.",ml,30,ml,60,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
24k Nightmare,Http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot Glass,Goldschlager,,,,,,,Jägermeister,Rumple Minze,151 Proof Rum,,,,,,"Add over ice,shake and pour.","24k nightmare: An extravagant and bold cocktail that fuses a variety of spirits and flavors, creating a rich and memorable drinking experience.",ml,15,ml,15,ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
252,Http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot Glass,151 Proof Rum,,,,,,,Wild Turkey,,,,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick","252: A unique and vibrant cocktail made with a combination of spirits, fruit juices, and a touch of fizz for a sparkling finish.",ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
3 Wise Men,Http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins Glass,Jack Daniels,,,,,,,Johnnie Walker,Jim Beam,,,,,,,put them them in a glass... and slam it to tha head.,"3 Wise Men: A strong and intense cocktail that pays homage to three popular whiskies, delivering a robust and flavorful sip.",ml,10,ml,10,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
3-mile Long Island Iced Tea,Http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,Gin,,,,,,,Light Rum,Tequila,Triple Sec,Vodka,Coca-cola,Sweet And Sour,Bitters,Lemon,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,"3-Mile Long Island Iced Tea: A long and refreshing cocktail featuring a medley of spirits, citrus flavors, and cola, offering a potent yet satisfying taste.",ml,15,ml,15,ml,15,ml,15,ml,15,, ,ml,2,wedge , 1,, ,, ,, ,, ,, ,, ,, 
410 Gone,Http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,Peach Vodka,,,,,,,Coca-cola,,,,,,,,,"410 Gone: A tantalizing cocktail that blends tequila, citrus juices, and a hint of sweetness, providing a balanced and invigorating drink.",ml,90,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
50/50,Http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,Vanilla Vodka,,,,,,,Grand Marnier,Orange Juice,,,,,,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,"50/50: A simple and classic cocktail composed of equal parts of two spirits, resulting in a balanced and easy-to-enjoy beverage.",ml,75,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
501 Blue,Http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Collins Glass,Blue Curacao,,,,,,,Blueberry Schnapps,Vodka,Sour Mix,7-up,,,,,Mix equal amounts into a glass with ice.,"501 Blue: A visually stunning cocktail with blue curaçao as the star ingredient, delivering a sweet and tangy taste with a hint of citrus.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
69 Special,Http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,Gin,,,,,,,7-up,Lemon Juice,,,,,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.","69 Special: An intriguing and playful cocktail that combines fruity liqueurs and herbal flavors, resulting in a unique and enjoyable drink.",ml,60,ml,120,ml,2250,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
